CIUDAD,LATITUD,LONGITUD
A Coruña,43.368683,'-8.391426
A Coruña,43.368687,'-8.390261
A Coruña,43.368687,'-8.391429
A Coruña,43.368687,'-8.393663
A Coruña,43.368694,'-8.39142
A Coruña,43.368694,'-8.391422
A Coruña,43.3687,'-8.391419
A Coruña,43.368702,'-8.393662
A Coruña,43.368702,'-8.393665
A Coruña,43.36871,'-8.394609
A Coruña,43.36871,'-8.39461
A Coruña,43.368713,'-8.394611
A Coruña,43.368717,'-8.391493
A Coruña,43.36872,'-8.393664
A Coruña,43.36872,'-8.393667
A Coruña,43.368725,'-8.394634
A Coruña,43.368732,'-8.393668
A Coruña,43.368736,'-8.394161
A Coruña,43.36874,'-8.390278
A Coruña,43.36874,'-8.391197
A Coruña,43.368744,'-8.39432
A Coruña,43.368748,'-8.394672
A Coruña,43.36876,'-8.391556
A Coruña,43.368763,'-8.394355
A Coruña,43.368763,'-8.398577
A Coruña,43.368763,'-8.39858
A Coruña,43.368767,'-8.391222
A Coruña,43.36877,'-8.393556
A Coruña,43.36877,'-8.394709
A Coruña,43.368774,'-8.398343
A Coruña,43.368774,'-8.398358
A Coruña,43.368782,'-8.390295
A Coruña,43.368797,'-8.394742
A Coruña,43.3688,'-8.390304
A Coruña,43.368805,'-8.393394
A Coruña,43.36881,'-8.390308
A Coruña,43.36881,'-8.391626
A Coruña,43.36881,'-8.393363
A Coruña,43.36881,'-8.393369
A Coruña,43.36881,'-8.393373
A Coruña,43.36881,'-8.393374
A Coruña,43.36881,'-8.393376
A Coruña,43.368816,'-8.390314
A Coruña,43.368816,'-8.393365
A Coruña,43.368816,'-8.398574
A Coruña,43.36882,'-8.393342
A Coruña,43.36882,'-8.393345
A Coruña,43.36882,'-8.393349
A Coruña,43.36882,'-8.393355
A Coruña,43.36882,'-8.393359
A Coruña,43.36882,'-8.393362
A Coruña,43.36882,'-8.393366
A Coruña,43.368824,'-8.39032
A Coruña,43.368824,'-8.393329
A Coruña,43.368828,'-8.390323
A Coruña,43.368828,'-8.393316
A Coruña,43.368828,'-8.393327
A Coruña,43.368828,'-8.393924
A Coruña,43.368828,'-8.394468
A Coruña,43.368828,'-8.394773
A Coruña,43.36883,'-8.390326
A Coruña,43.36883,'-8.391664
A Coruña,43.36883,'-8.393317
A Coruña,43.36883,'-8.393913
A Coruña,43.36884,'-8.390332
A Coruña,43.368847,'-8.39034
A Coruña,43.368847,'-8.391298
A Coruña,43.36885,'-8.393211
A Coruña,43.36885,'-8.39322
A Coruña,43.36885,'-8.394796
A Coruña,43.368855,'-8.393853
A Coruña,43.36886,'-8.391307
A Coruña,43.36886,'-8.393848
A Coruña,43.368862,'-8.390355
A Coruña,43.368862,'-8.394533
A Coruña,43.368862,'-8.398681
A Coruña,43.368866,'-8.390359
A Coruña,43.368877,'-8.393086
A Coruña,43.368877,'-8.393101
A Coruña,43.36888,'-8.391735
A Coruña,43.36888,'-8.393054
A Coruña,43.36888,'-8.394824
A Coruña,43.36889,'-8.392873
A Coruña,43.36889,'-8.392885
A Coruña,43.36889,'-8.398333
A Coruña,43.36889,'-8.3987465
A Coruña,43.368893,'-8.390401
A Coruña,43.368893,'-8.39376
A Coruña,43.368896,'-8.394595
A Coruña,43.368908,'-8.3914585
A Coruña,43.368908,'-8.391459
A Coruña,43.368908,'-8.394843
A Coruña,43.368908,'-8.399125
A Coruña,43.368916,'-8.390427
A Coruña,43.368916,'-8.398813
A Coruña,43.368916,'-8.399112
A Coruña,43.368923,'-8.394855
A Coruña,43.368923,'-8.399097
A Coruña,43.368927,'-8.390441
A Coruña,43.368927,'-8.391514
A Coruña,43.368927,'-8.391517
A Coruña,43.36893,'-8.399147
A Coruña,43.368935,'-8.391376
A Coruña,43.368935,'-8.391478
A Coruña,43.368935,'-8.399073
A Coruña,43.36894,'-8.390454
A Coruña,43.36894,'-8.391392
A Coruña,43.36894,'-8.398328
A Coruña,43.368942,'-8.391383
A Coruña,43.368942,'-8.391483
