city,badge,vehicle,access,obs_access,obs_mobility,obs_parking,lat,lng
A Coruña,C,autobús (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,C,furgoneta >3500 kg,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,C,camión >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 6:00 a 11:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,C,autobús >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,turismo,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,motocicleta,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,furgoneta,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,camión (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,autobús (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,furgoneta >3500 kg,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,camión >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,ECO,autobús >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,turismo,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,motocicleta,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,furgoneta,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,camión (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,autobús (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,furgoneta >3500 kg,PROHIBIDO,"EXCEP RESIDENTES:Los residentes empadronados en el ámbito de la ZBE podrán obtener autorización municipal que les permita acceder y circular dentro de la zona.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de TEPMR y la matrícula cuenta con permiso previo.EXCEP SERVICIOS: Vehículos que presten servicios públicos de transporte colectivo. Taxis exclusivamente en Avenida de la Marina, Avenida Montoto hasta Puerta Real y Ciudad Vieja. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTRAS EXCEP: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,camión >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Vehículos adscritos a concesión administrativa o contrato de servicios. Labores de carga y descarga de 5:00 a 12:00, en zonas habilitadas y justificando actividad económica.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
A Coruña,0,autobús >3500 kg (servicios),CONDICIONADO,"Se permite la entrada, circulación y aparcamiento si cumple alguna de estas condiciones: SERVICIOS / REGISTRO: Autobuses que presten servicio público regular de transporte colectivo urbano o interurbano autorizado. Vehículos adscritos a concesión administrativa o contrato de servicio público.OTROS: Permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,43.371704,'-8.39326
Alicante,SIN ETIQUETA,turismo,CONDICIONADO,"EXCEP SIN AUTORIZACIÓN PREVIA: Podrán acceder los vehículos de personas empadronadas o residentes en la ZBE, propietarios o arrendatarios de viviendas o garajes en la zona, así como los destinados a servicios públicos esenciales o básicos y a la entrega urgente de medicamentos.EXCEP CON AUTORIZACIÓN: Requerirán autorización los vehículos que accedan por invitación de residentes, clientes de hoteles o estacionamientos públicos, personas trabajadoras o vehículos vinculados a actividades económicas en la ZBE, acceso a centros educativos (hasta una hora posterior), empresas de servicios básicos, mudanzas, atención médica domiciliaria, traslado por cita médica y vehículos diplomáticos acreditados.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de tarjeta TED.OTRAS EXCEP: Vehículos históricos con comprobación de oficio de matrícula o permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,38.348648,'-0.4835848
Alicante,SIN ETIQUETA,motocicleta,CONDICIONADO,"EXCEP SIN AUTORIZACIÓN PREVIA: Podrán acceder los vehículos de personas empadronadas o residentes en la ZBE, propietarios o arrendatarios de viviendas o garajes en la zona, así como los destinados a servicios públicos esenciales o básicos y a la entrega urgente de medicamentos.EXCEP CON AUTORIZACIÓN: Requerirán autorización los vehículos que accedan por invitación de residentes, personas trabajadoras o vehículos vinculados a actividades económicas en la ZBE, acceso a centros educativos (hasta una hora posterior), empresas de servicios básicos, mudanzas, atención médica domiciliaria, traslado por cita médica y vehículos diplomáticos acreditados.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de tarjeta TED.OTRAS EXCEP: Vehículos históricos con comprobación de oficio de matrícula o permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,38.348648,'-0.4835848
Alicante,SIN ETIQUETA,furgoneta,CONDICIONADO,"EXCEP SIN AUTORIZACIÓN PREVIA: Podrán acceder los vehículos de personas empadronadas o residentes en la ZBE, propietarios o arrendatarios de viviendas o garajes en la zona, así como los destinados a servicios públicos esenciales o básicos y a la entrega urgente de medicamentos.EXCEP CON AUTORIZACIÓN: Requerirán autorización los vehículos que accedan por invitación de residentes, personas trabajadoras o vehículos vinculados a actividades económicas en la ZBE, acceso a centros educativos (hasta una hora posterior), empresas de servicios básicos, mudanzas, atención médica domiciliaria, traslado por cita médica y vehículos diplomáticos acreditados.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de tarjeta TED.OTRAS EXCEP: Vehículos históricos con comprobación de oficio de matrícula o permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,38.348648,'-0.4835848
Alicante,SIN ETIQUETA,camión (servicios),CONDICIONADO,"EXCEP SIN AUTORIZACIÓN PREVIA: Los vehículos destinados a servicios públicos esenciales o básicos y a la entrega urgente de medicamentos.EXCEP CON AUTORIZACIÓN: Requerirán autorización los vehículos que accedan por invitación de residentes, personas trabajadoras o vehículos vinculados a actividades económicas en la ZBE, acceso a centros educativos (hasta una hora posterior), empresas de servicios básicos, mudanzas, atención médica domiciliaria, traslado por cita médica y vehículos diplomáticos acreditados.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de tarjeta TED.OTRAS EXCEP: Vehículos históricos con comprobación de oficio de matrícula o permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,38.348648,'-0.4835848
Alicante,SIN ETIQUETA,autobús (servicios),CONDICIONADO,"EXCEP SIN AUTORIZACIÓN PREVIA: Los vehículos destinados a servicios públicos esenciales o básicos y a la entrega urgente de medicamentos.EXCEP CON AUTORIZACIÓN: Requerirán autorización los vehículos que accedan por invitación de residentes, personas trabajadoras o vehículos vinculados a actividades económicas en la ZBE, acceso a centros educativos (hasta una hora posterior), empresas de servicios básicos, mudanzas, atención médica domiciliaria, traslado por cita médica y vehículos diplomáticos acreditados.EXCEP MOVILIDAD REDUCIDA: Si el vehículo se usa para transportar a una persona titular de tarjeta TED.OTRAS EXCEP: Vehículos históricos con comprobación de oficio de matrícula o permisos extraordinarios por resolución. Vehículos de emergencia, Fuerzas Armadas y Cuerpos de Seguridad, grúas y servicios.",,,38.348648,'-0.4835848
